,Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,No.,Ht,Wt,Birth Date,Birth,Exp,College,Season,Team
10,11.0,Baylor Scheierman,24.0,SG,31,2,12.4,1.3,3.5,0.355,0.8,2.6,0.317,0.4,0.9,0.464,0.473,0.3,0.4,0.75,0.6,1.5,2.1,1.1,0.5,0.1,0.4,0.7,3.6,,55,6-6,205.0,"September 26, 2000",us US,R,"South Dakota State, Creighton",2024,BOS
11,12.0,Torrey Craig,34.0,SF,17,3,11.8,0.9,2.6,0.356,0.5,1.8,0.29,0.4,0.8,0.5,0.456,0.3,0.5,0.625,1.1,1.7,2.8,0.7,0.4,0.6,0.5,1.1,2.7,,12,6-7,221.0,"December 19, 1990",us US,7,USC Upstate,2024,BOS
12,14.0,Jordan Walsh,20.0,PF,52,1,7.8,0.6,1.6,0.361,0.3,1.1,0.273,0.3,0.5,0.536,0.452,0.1,0.2,0.583,0.4,0.9,1.3,0.4,0.2,0.2,0.3,0.6,1.6,,27,6-7,205.0,"March 3, 2004",us US,1,Arkansas,2024,BOS
13,16.0,Xavier Tillman Sr.,26.0,C,33,2,7.0,0.4,1.6,0.245,0.2,1.0,0.156,0.2,0.6,0.381,0.292,0.1,0.1,0.75,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.5,1.0,,26,6-8,245.0,"January 12, 1999",us US,4,Michigan State,2024,BOS
14,17.0,JD Davison,22.0,PG,16,0,5.8,0.8,2.1,0.353,0.3,1.1,0.222,0.5,1.0,0.5,0.412,0.3,0.4,0.714,0.1,0.7,0.8,0.8,0.3,0.1,0.8,0.1,2.1,,20,6-1,195.0,"October 3, 2002",us US,2,Alabama,2024,BOS
0,1.0,Josh Hart,29.0,SG,77,77,37.6,5.2,10.0,0.525,1.1,3.3,0.333,4.2,6.7,0.618,0.579,2.1,2.7,0.776,2.1,7.5,9.6,5.9,1.5,0.4,2.1,2.6,13.6,,3,6-4,215.0,"March 6, 1995",us US,7,Villanova,2024,NYK
1,2.0,Mikal Bridges,28.0,SF,82,82,37.0,7.2,14.4,0.5,2.0,5.6,0.354,5.2,8.8,0.594,0.57,1.2,1.4,0.814,0.9,2.3,3.2,3.7,0.9,0.5,1.6,1.5,17.6,,25,6-6,209.0,"August 30, 1996",us US,6,Villanova,2024,NYK
2,3.0,OG Anunoby,27.0,PF,74,74,36.6,6.6,13.9,0.476,2.3,6.2,0.372,4.3,7.7,0.561,0.559,2.5,3.1,0.81,1.3,3.5,4.8,2.2,1.5,0.9,1.4,2.3,18.0,,8,6-7,232.0,"July 17, 1997",gb GB,7,Indiana,2024,NYK
3,4.0,Jalen Brunson,28.0,PG,65,65,35.4,9.0,18.5,0.488,2.3,6.1,0.383,6.7,12.4,0.539,0.551,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0,,11,6-2,190.0,"August 31, 1996",us US,6,Villanova,2024,NYK
4,5.0,Karl-Anthony Towns,29.0,C,72,72,35.0,8.9,16.9,0.526,2.0,4.7,0.42,6.9,12.2,0.567,0.584,4.7,5.7,0.829,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,,32,7-0,248.0,"November 15, 1995",us US,9,Kentucky,2024,NYK
5,6.0,Miles McBride,24.0,PG,64,10,24.9,3.5,8.5,0.406,1.8,4.9,0.369,1.7,3.7,0.455,0.511,0.8,1.0,0.813,0.7,1.8,2.5,2.9,1.0,0.3,0.6,1.7,9.5,,2,6-2,200.0,"September 8, 2000",us US,3,West Virginia,2024,NYK
6,7.0,Precious Achiuwa,25.0,C,57,10,20.5,2.9,5.7,0.502,0.2,0.6,0.278,2.7,5.1,0.529,0.517,0.7,1.2,0.594,1.8,3.8,5.6,1.0,0.8,0.7,0.8,1.4,6.6,,5,6-8,225.0,"September 19, 1999",ng NG,4,Memphis,2024,NYK
7,8.0,P.J. Tucker,39.0,SF,3,1,19.3,1.0,2.3,0.429,1.0,2.0,0.5,0.0,0.3,0.0,0.643,0.0,0.0,,1.3,1.3,2.7,0.0,0.3,0.3,0.3,2.7,3.0,,17,6-5,245.0,"May 5, 1985",us US,13,Texas,2024,NYK
8,9.0,Mitchell Robinson,26.0,C,17,3,17.1,2.2,3.3,0.661,0.0,0.0,,2.2,3.3,0.661,0.661,0.8,1.1,0.684,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,5.1,,23,7-0,240.0,"April 1, 1998",us US,6,Western Kentucky,2024,NYK
9,10.0,Delon Wright,32.0,PG,14,5,16.4,1.6,3.5,0.469,0.6,1.7,0.333,1.1,1.8,0.6,0.551,0.4,0.6,0.667,0.9,0.6,1.4,2.1,0.9,0.2,0.6,0.6,4.3,,0,6-5,185.0,"April 26, 1992",us US,9,Utah,2024,NYK
10,11.0,Landry Shamet,27.0,SG,50,0,15.2,2.1,4.6,0.461,1.2,3.1,0.397,0.9,1.5,0.595,0.596,0.2,0.4,0.667,0.2,1.0,1.2,0.5,0.5,0.0,0.4,1.0,5.7,,44,6-4,190.0,"March 13, 1997",us US,6,Wichita State,2024,NYK
11,12.0,Cameron Payne,30.0,PG,72,5,15.1,2.5,6.2,0.401,1.3,3.6,0.363,1.2,2.6,0.453,0.506,0.7,0.8,0.907,0.2,1.3,1.4,2.8,0.5,0.2,0.7,1.5,6.9,,1,6-3,183.0,"August 8, 1994",us US,9,Murray State,2024,NYK
12,14.0,Ariel Hukporti,22.0,C,25,1,8.7,0.8,1.2,0.677,0.0,0.0,,0.8,1.2,0.677,0.677,0.2,0.5,0.462,0.6,1.5,2.0,0.4,0.0,0.6,0.8,1.3,1.9,,55,7-0,246.0,"April 11, 2002",de DE,R,,2024,NYK
13,16.0,Tyler Kolek,23.0,PG,41,0,7.2,0.7,2.0,0.329,0.3,1.1,0.298,0.3,0.9,0.371,0.415,0.3,0.4,0.765,0.2,0.5,0.7,1.7,0.3,0.1,0.4,0.6,2.0,,13,6-1,195.0,"March 27, 2001",us US,R,"George Mason, Marquette",2024,NYK
14,17.0,Pacome Dadiet,19.0,SG,18,0,6.2,0.6,1.7,0.323,0.3,1.1,0.316,0.2,0.7,0.333,0.419,0.2,0.3,0.667,0.2,0.8,1.0,0.3,0.2,0.1,0.2,0.4,1.7,,4,6-7,210.0,"July 27, 2005",fr FR,R,,2024,NYK
0,1.0,Tyrese Haliburton,24.0,PG,73,73,33.6,6.5,13.8,0.473,3.0,7.7,0.388,3.5,6.1,0.581,0.582,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,,0,6-5,185.0,"February 29, 2000",us US,4,Iowa State,2024,IND
1,2.0,Pascal Siakam,30.0,PF,78,78,32.7,7.9,15.2,0.519,1.6,4.2,0.389,6.2,11.0,0.568,0.572,2.9,3.9,0.734,1.7,5.2,6.9,3.4,0.9,0.5,1.4,2.4,20.2,,43,6-8,230.0,"April 2, 1994",cm CM,8,New Mexico State,2024,IND
2,3.0,Myles Turner,28.0,C,72,72,30.2,5.4,11.3,0.481,2.2,5.5,0.396,3.3,5.8,0.561,0.577,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,,33,6-11,250.0,"March 24, 1996",us US,9,Texas,2024,IND
3,4.0,Bennedict Mathurin,22.0,SF,72,49,29.8,5.4,11.8,0.458,1.4,4.0,0.34,4.1,7.8,0.519,0.516,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,,0,6-6,210.0,"June 19, 2002",ca CA,2,Arizona,2024,IND
4,5.0,Andrew Nembhard,25.0,SG,65,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,3.0,5.6,0.538,0.506,1.7,2.1,0.794,0.5,2.8,3.3,5.0,1.2,0.2,1.7,2.3,10.0,,2,6-5,193.0,"January 16, 2000",ca CA,2,"Florida, Gonzaga",2024,IND
5,6.0,Aaron Nesmith,25.0,SF,45,37,25.0,4.3,8.4,0.507,1.9,4.3,0.431,2.4,4.1,0.587,0.617,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0,,23,6-5,215.0,"October 16, 1999",us US,4,Vanderbilt,2024,IND
6,7.0,Obi Toppin,26.0,PF,79,4,19.6,4.0,7.6,0.529,1.4,3.8,0.365,2.6,3.8,0.695,0.621,1.1,1.4,0.781,0.7,3.3,4.0,1.6,0.6,0.4,0.9,1.4,10.5,,1,6-9,220.0,"March 4, 1998",us US,4,Dayton,2024,IND
7,8.0,Ben Sheppard,23.0,SG,63,9,19.5,1.9,4.6,0.418,1.1,3.2,0.342,0.8,1.4,0.591,0.537,0.4,0.4,0.889,0.7,2.1,2.8,1.3,0.6,0.2,0.3,2.0,5.3,,26,6-6,190.0,"July 16, 2001",us US,1,Belmont,2024,IND
8,9.0,T.J. McConnell,32.0,PG,79,1,17.9,4.1,7.9,0.519,0.2,0.6,0.306,3.9,7.3,0.537,0.531,0.7,1.0,0.74,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1.0,9.1,,9,6-1,190.0,"March 25, 1992",us US,9,"Duquesne, Arizona",2024,IND
9,10.0,Isaiah Jackson,23.0,C,5,1,16.8,2.8,4.6,0.609,0.0,0.0,,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0,,22,6-10,206.0,"January 10, 2002",us US,3,Kentucky,2024,IND
10,11.0,Jarace Walker,21.0,PF,75,5,15.8,2.3,4.8,0.472,1.0,2.5,0.405,1.3,2.3,0.543,0.576,0.6,0.9,0.667,0.3,2.7,3.1,1.5,0.7,0.3,1.0,1.5,6.1,,5,6-8,240.0,"September 4, 2003",us US,1,Houston,2024,IND
11,12.0,Thomas Bryant,27.0,C,56,8,15.1,2.7,5.2,0.515,0.8,2.3,0.321,1.9,2.9,0.673,0.587,0.8,0.9,0.83,1.4,2.5,3.9,0.9,0.5,0.6,0.5,1.2,6.9,,3,6-10,248.0,"July 31, 1997",us US,7,Indiana,2024,IND
12,15.0,Tony Bradley,27.0,C,14,0,8.1,2.1,3.2,0.644,0.1,0.2,0.333,2.0,3.0,0.667,0.656,0.1,0.4,0.333,1.3,1.7,3.0,0.4,0.1,0.6,0.4,0.8,4.4,,13,6-10,248.0,"January 8, 1998",us US,6,UNC,2024,IND
13,16.0,Johnny Furphy,20.0,SG,50,0,7.6,0.7,1.8,0.38,0.3,1.0,0.3,0.4,0.8,0.476,0.462,0.4,0.4,0.818,0.5,1.0,1.4,0.4,0.4,0.2,0.2,0.8,2.1,,12,6-8,200.0,"December 8, 2004",au AU,R,Kansas,2024,IND
14,20.0,James Johnson,37.0,PF,12,0,3.1,0.3,0.9,0.364,0.0,0.3,0.0,0.3,0.7,0.5,0.364,0.0,0.1,0.0,0.0,0.5,0.5,0.3,0.0,0.2,0.3,0.4,0.7,,16,6-7,240.0,"February 20, 1987",us US,15,Wake Forest,2024,IND
0,1.0,Damian Lillard,34.0,PG,58,58,36.1,7.7,17.1,0.448,3.4,9.0,0.376,4.3,8.1,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,,0,6-2,195.0,"July 15, 1990",us US,12,Weber State,2024,MIL
1,2.0,Giannis Antetokounmpo,30.0,PF,67,67,34.2,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,,34,6-11,242.0,"December 6, 1994",gr GR,11,,2024,MIL
2,3.0,Kyle Kuzma,29.0,PF,33,32,31.8,5.4,11.9,0.455,1.5,4.6,0.333,3.9,7.3,0.533,0.52,2.1,3.2,0.663,0.8,4.8,5.6,2.2,0.5,0.4,2.2,2.0,14.5,,18,6-9,221.0,"July 24, 1995",us US,7,Utah,2024,MIL
3,4.0,Brook Lopez,36.0,C,80,80,31.8,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5.0,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,,11,7-1,282.0,"April 1, 1988",us US,16,Stanford,2024,MIL
4,5.0,Taurean Prince,30.0,SF,80,73,27.1,2.9,6.4,0.457,1.8,4.2,0.439,1.1,2.2,0.492,0.6,0.5,0.6,0.813,0.4,3.2,3.6,1.9,1.0,0.2,1.0,2.1,8.2,,12,6-6,218.0,"March 22, 1994",us US,8,Baylor,2024,MIL
5,6.0,Gary Trent Jr.,26.0,SG,74,9,25.6,3.8,8.9,0.431,2.4,5.9,0.416,1.4,3.0,0.46,0.568,1.1,1.2,0.848,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,11.1,,5,6-5,209.0,"January 18, 1999",us US,6,Duke,2024,MIL
6,7.0,Bobby Portis,29.0,PF,49,7,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,,9,6-10,250.0,"February 10, 1995",us US,9,Arkansas,2024,MIL
7,9.0,A.J. Green,25.0,SG,73,7,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.4,0.8,0.443,0.612,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4,,20,6-4,200.0,"September 27, 1999",us US,2,University of Northern Iowa,2024,MIL
8,10.0,Kevin Porter Jr.,24.0,SG,30,2,19.9,4.0,8.2,0.494,1.0,2.4,0.408,3.1,5.8,0.529,0.553,2.7,3.1,0.871,0.4,3.5,3.9,3.7,1.3,0.1,1.7,1.6,11.7,,3,6-4,203.0,"May 4, 2000",us US,4,USC,2024,MIL
9,12.0,Jericho Sims,26.0,C,14,0,15.0,1.2,1.8,0.68,0.0,0.0,,1.2,1.8,0.68,0.68,0.0,0.0,,1.4,3.4,4.9,0.8,0.1,0.6,0.9,1.4,2.4,,0,6-10,245.0,"October 20, 1998",us US,3,Texas,2024,MIL
10,13.0,Pat Connaughton,32.0,SG,41,1,14.7,2.0,4.3,0.469,0.6,2.0,0.321,1.4,2.3,0.594,0.542,0.6,0.8,0.774,0.5,2.2,2.7,1.7,0.2,0.3,0.6,1.1,5.3,,24,6-5,209.0,"January 6, 1993",us US,9,Notre Dame,2024,MIL
11,14.0,Andre Jackson Jr.,23.0,SG,67,43,14.6,1.4,2.9,0.477,0.4,1.1,0.395,1.0,1.8,0.529,0.553,0.2,0.4,0.5,1.0,1.7,2.7,1.2,0.5,0.2,0.9,1.7,3.4,,44,6-6,210.0,"November 13, 2001",us US,1,UConn,2024,MIL
12,15.0,Ryan Rollins,22.0,PG,56,19,14.6,2.4,4.8,0.487,0.9,2.1,0.408,1.5,2.7,0.55,0.577,0.6,0.8,0.8,0.4,1.6,1.9,1.9,0.8,0.3,0.9,1.6,6.2,,13,6-4,180.0,"July 3, 2002",us US,2,Toledo,2024,MIL
13,19.0,Tyler Smith,20.0,PF,23,0,5.3,1.0,2.2,0.48,0.6,1.3,0.433,0.5,0.9,0.55,0.61,0.3,0.3,0.75,0.3,0.8,1.1,0.2,0.1,0.2,0.3,0.5,2.9,,21,6-11,224.0,"November 2, 2004",us US,R,,2024,MIL
14,20.0,Chris Livingston,21.0,SF,21,1,5.0,0.4,1.3,0.333,0.0,0.4,0.0,0.4,0.9,0.474,0.333,0.6,0.8,0.75,0.5,1.2,1.7,0.2,0.2,0.0,0.3,0.4,1.4,,7,6-6,220.0,"October 15, 2003",us US,1,Kentucky,2024,MIL
0,1.0,Cade Cunningham,23.0,PG,70,70,35.0,9.8,20.8,0.469,2.1,6.0,0.356,7.6,14.8,0.515,0.521,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1.0,0.8,4.4,2.8,26.1,,2,6-6,220.0,"September 25, 2001",us US,3,Oklahoma State,2024,DET
1,2.0,Tobias Harris,32.0,PF,73,73,31.6,5.3,11.0,0.477,1.2,3.6,0.345,4.0,7.4,0.542,0.534,2.0,2.3,0.861,0.9,5.0,5.9,2.2,1.0,0.8,1.2,1.9,13.7,,12,6-8,226.0,"July 15, 1992",us US,13,Tennessee,2024,DET
2,3.0,Jaden Ivey,22.0,SG,30,30,29.9,6.3,13.8,0.46,2.1,5.1,0.409,4.2,8.6,0.49,0.536,2.8,3.9,0.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,23,6-4,195.0,"February 13, 2002",us US,2,Purdue,2024,DET
3,4.0,Tim Hardaway Jr.,32.0,SG,77,77,28.0,3.6,8.8,0.406,2.2,5.9,0.368,1.4,2.9,0.484,0.529,1.6,1.9,0.855,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,11.0,,8,6-5,205.0,"March 16, 1992",us US,11,Michigan,2024,DET
4,5.0,Malik Beasley,28.0,SG,82,18,27.8,5.6,13.1,0.43,3.9,9.3,0.416,1.7,3.7,0.466,0.579,1.2,1.7,0.679,0.6,2.0,2.6,1.7,0.9,0.1,1.0,1.5,16.3,,5,6-4,187.0,"November 26, 1996",us US,8,Florida State,2024,DET
5,6.0,Jalen Duren,21.0,C,78,78,26.1,4.8,7.0,0.692,0.0,0.0,,4.8,7.0,0.692,0.692,2.1,3.1,0.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8,,0,6-10,250.0,"November 18, 2003",us US,2,Memphis,2024,DET
6,7.0,Dennis Schr̦der,31.0,PG,28,8,25.2,3.4,9.0,0.378,1.1,3.8,0.302,2.3,5.2,0.434,0.442,2.9,3.4,0.833,0.5,2.2,2.6,5.3,0.5,0.2,1.3,2.0,10.8,,17,6-1,172.0,"September 15, 1993",de DE,11,,2024,DET
7,8.0,Ausar Thompson,22.0,SF,59,48,22.5,4.2,7.8,0.535,0.2,0.8,0.224,4.0,7.0,0.572,0.547,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,10.1,,9,6-7,215.0,"January 30, 2003",us US,1,,2024,DET
8,10.0,Isaiah Stewart,23.0,C,72,4,19.9,2.4,4.4,0.559,0.2,0.7,0.321,2.2,3.6,0.607,0.586,0.9,1.2,0.759,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,6.0,,28,6-8,250.0,"May 22, 2001",us US,4,Washington,2024,DET
9,12.0,Simone Fontecchio,29.0,SF,75,0,16.5,2.0,5.0,0.402,1.0,3.0,0.335,1.0,1.9,0.507,0.504,0.9,1.1,0.833,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,5.9,,19,6-8,209.0,"December 9, 1995",it IT,2,,2024,DET
10,13.0,Ron Holland,19.0,SF,81,2,15.6,2.4,5.1,0.474,0.4,1.9,0.238,2.0,3.3,0.608,0.517,1.1,1.5,0.754,0.5,2.2,2.7,1.0,0.6,0.2,0.9,1.7,6.4,,0,6-8,206.0,"July 7, 2005",us US,R,,2024,DET
11,14.0,Marcus Sasser,24.0,PG,57,1,14.2,2.4,5.2,0.463,1.0,2.7,0.382,1.4,2.5,0.549,0.561,0.8,0.9,0.843,0.3,0.9,1.2,2.3,0.6,0.1,0.9,1.3,6.6,,25,6-2,195.0,"September 21, 2000",us US,1,Houston,2024,DET
12,16.0,Paul Reed,25.0,C,45,0,9.7,1.6,3.2,0.507,0.2,0.6,0.286,1.4,2.5,0.561,0.535,0.7,0.9,0.762,0.9,1.8,2.7,1.0,0.9,0.6,0.6,1.7,4.1,,7,6-9,210.0,"June 14, 1999",us US,4,DePaul,2024,DET
