,Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,No.,Ht,Wt,Birth Date,Birth,Exp,College,Season,Team
0,1.0,Julius Randle,29.0,PF,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7.0,9.2,5.0,0.5,0.3,3.5,2.7,24.0,AS,30,6-9,250,"November 29, 1994",us US,9,Kentucky,2024,NYK
1,2.0,Jalen Brunson,27.0,PG,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,"MVP-5,CPOY-5,AS,NBA2",11,6-2,190,"August 31, 1996",us US,5,Villanova,2024,NYK
2,3.0,OG Anunoby,26.0,SF,23,23,34.9,5.4,11.1,0.488,1.8,4.5,0.394,3.7,6.6,0.553,0.568,1.5,1.9,0.791,1.0,3.4,4.4,1.5,1.7,1.0,1.7,2.5,14.1,,8,6-7,232,"July 17, 1997",gb GB,6,Indiana,2024,NYK
3,4.0,Josh Hart,28.0,SF,81,42,33.4,3.6,8.4,0.434,1.0,3.2,0.31,2.7,5.2,0.511,0.493,1.1,1.4,0.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4,,3,6-4,215,"March 6, 1995",us US,6,Villanova,2024,NYK
4,5.0,RJ Barrett,23.0,SG,26,26,29.5,6.3,14.9,0.423,1.7,5.0,0.331,4.7,9.9,0.469,0.478,4.0,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,,9,6-6,214,"June 14, 2000",ca CA,4,Duke,2024,NYK
5,6.0,Donte DiVincenzo,27.0,SG,81,63,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2.0,3.7,0.542,0.584,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2.0,15.5,,0,6-4,203,"January 31, 1997",us US,5,Villanova,2024,NYK
6,7.0,Isaiah Hartenstein,25.0,C,75,49,25.3,3.1,4.9,0.644,0.0,0.0,0.333,3.1,4.8,0.646,0.645,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8,,55,7-0,255,"May 5, 1998",us US,5,,2024,NYK
7,8.0,Mitchell Robinson,25.0,C,31,21,24.8,2.4,4.1,0.575,0.0,0.0,,2.4,4.1,0.575,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6,,23,7-0,240,"April 1, 1998",us US,5,Western Kentucky,2024,NYK
8,9.0,Precious Achiuwa,24.0,PF,49,18,24.2,3.2,6.1,0.525,0.3,1.0,0.26,2.9,5.1,0.578,0.547,0.9,1.4,0.643,2.9,4.3,7.2,1.1,0.6,1.1,1.1,2.1,7.6,,5,6-8,225,"September 19, 1999",ng NG,3,Memphis,2024,NYK
9,10.0,Immanuel Quickley,24.0,SG,30,0,24.0,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1.0,1.5,15.0,,5,6-3,190,"June 17, 1999",us US,3,Kentucky,2024,NYK
10,11.0,Quentin Grimes,23.0,SG,45,18,20.2,2.5,6.4,0.395,1.7,4.7,0.363,0.8,1.6,0.486,0.53,0.5,0.8,0.706,0.3,1.6,2.0,1.2,0.7,0.1,0.5,1.5,7.3,,6,6-5,205,"May 8, 2000",us US,2,"Kansas, Houston",2024,NYK
11,12.0,Miles McBride,23.0,PG,68,14,19.5,3.0,6.7,0.452,1.6,3.9,0.41,1.4,2.8,0.511,0.572,0.6,0.7,0.86,0.5,1.0,1.5,1.7,0.7,0.1,0.4,1.6,8.3,,2,6-2,200,"September 8, 2000",us US,2,West Virginia,2024,NYK
12,13.0,Bojan BogdanoviÄ,34.0,SF,29,0,19.2,3.8,8.8,0.43,1.6,4.4,0.37,2.2,4.4,0.488,0.521,1.2,1.6,0.8,0.3,1.7,2.0,0.9,0.2,0.0,1.3,1.3,10.4,6MOY-9,44,6-7,226,"April 18, 1989",ba BA,9,,2024,NYK
13,14.0,Alec Burks,32.0,SG,23,1,13.5,2.2,7.1,0.307,1.1,3.6,0.301,1.1,3.5,0.313,0.383,1.0,1.4,0.727,0.3,1.4,1.7,0.9,0.3,0.0,0.7,0.5,6.5,,18,6-6,214,"July 20, 1991",us US,12,Colorado,2024,NYK
14,15.0,Evan Fournier,31.0,SG,3,0,13.0,1.3,6.7,0.2,0.7,5.0,0.133,0.7,1.7,0.4,0.25,0.7,0.7,1.0,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,,13,6-6,205,"October 29, 1992",fr FR,11,,2024,NYK
15,16.0,Jericho Sims,25.0,C,45,11,13.0,0.8,1.2,0.691,0.0,0.0,,0.8,1.2,0.691,0.691,0.4,0.5,0.667,1.2,2.0,3.3,0.6,0.2,0.4,0.4,1.0,2.0,,45,6-10,245,"October 20, 1998",us US,2,Texas,2024,NYK
16,17.0,Taj Gibson,38.0,PF,16,1,10.3,0.4,1.4,0.304,0.0,0.4,0.0,0.4,1.1,0.412,0.304,0.1,0.1,1.0,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1.0,,67,6-9,232,"June 24, 1985",us US,14,USC,2024,NYK
17,18.0,Charlie Brown Jr.,26.0,SG,8,0,4.6,0.3,1.3,0.2,0.3,0.9,0.286,0.0,0.4,0.0,0.3,0.0,0.0,,0.1,0.1,0.3,0.0,0.0,0.3,0.3,0.6,0.8,,"4, 44",6-6,199,"February 2, 1997",us US,3,Saint Joseph's,2024,NYK
18,19.0,Shake Milton,27.0,SG,6,0,4.5,0.7,1.5,0.444,0.2,0.3,0.5,0.5,1.2,0.429,0.5,0.3,0.3,1.0,0.0,1.0,1.0,0.7,0.2,0.0,0.0,1.2,1.8,,13,6-5,205,"September 26, 1996",us US,5,SMU,2024,NYK
19,20.0,Malachi Flynn,25.0,PG,14,0,4.3,0.6,1.6,0.391,0.3,0.9,0.308,0.4,0.7,0.5,0.478,0.6,0.8,0.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2,,4,6-1,175,"May 10, 1998",us US,3,"Washington State, San Diego State",2024,NYK
20,21.0,Jacob Toppin,23.0,SF,9,0,4.2,0.6,1.0,0.556,0.1,0.4,0.25,0.4,0.6,0.8,0.611,0.2,0.2,1.0,0.3,0.4,0.8,0.3,0.0,0.1,0.1,0.3,1.4,,00,6-9,205,"May 8, 2000",us US,R,"Rhode Island, Kentucky",2024,NYK
21,22.0,Mamadi Diakite,27.0,PF,3,0,2.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.3,0.0,,25,6-9,228,"January 21, 1997",gn GN,3,Virginia,2024,NYK
22,23.0,DaQuan Jeffries,26.0,SG,17,0,2.7,0.4,1.0,0.353,0.1,0.6,0.2,0.2,0.4,0.571,0.412,0.0,0.1,0.0,0.0,0.3,0.3,0.3,0.0,0.1,0.2,0.1,0.8,,"8, 21",6-5,230,"August 30, 1997",us US,4,"Oral Roberts, Tulsa",2024,NYK
23,24.0,Ryan Arcidiacono,29.0,PG,20,0,2.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,,51,6-3,195,"March 26, 1994",us US,6,Villanova,2024,NYK
24,25.0,Dylan Windler,27.0,SF,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0,,20,6-6,196,"September 22, 1996",us US,3,Belmont,2024,NYK
25,26.0,Dmytro Skapintsev,25.0,C,2,0,1.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14,7-1,260,"May 12, 1998",ua UA,R,Cal State Northridge,2024,NYK
0,1.0,Damian Lillard,33.0,PG,73,73,35.3,7.4,17.5,0.424,3.0,8.5,0.354,4.4,9.0,0.49,0.51,6.5,7.0,0.92,0.5,3.9,4.4,7.0,1.0,0.2,2.6,1.8,24.3,"CPOY-11,AS",0,6-2,195,"July 15, 1990",us US,11,Weber State,2024,MIL
1,2.0,Giannis Antetokounmpo,29.0,PF,73,73,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,"MVP-4,DPOY-9,CPOY-12,AS,NBA1",34,6-11,242,"December 6, 1994",gr GR,10,,2024,MIL
2,3.0,Brook Lopez,35.0,C,79,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1.0,2.4,12.5,,11,7-1,282,"April 1, 1988",us US,15,Stanford,2024,MIL
3,4.0,Malik Beasley,27.0,SG,79,77,29.6,4.1,9.1,0.443,2.8,6.9,0.413,1.2,2.3,0.533,0.598,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2.0,11.3,,5,6-4,187,"November 26, 1996",us US,7,Florida State,2024,MIL
4,5.0,Khris Middleton,32.0,SF,55,55,27.0,5.8,11.7,0.493,1.7,4.5,0.381,4.1,7.2,0.563,0.566,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1,,22,6-7,222,"August 12, 1991",us US,11,Texas A&M,2024,MIL
5,6.0,Bobby Portis,28.0,PF,82,4,24.5,5.7,11.2,0.508,1.2,3.0,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,6MOY-3,9,6-10,250,"February 10, 1995",us US,8,Arkansas,2024,MIL
6,7.0,Jae Crowder,33.0,PF,50,25,23.1,2.3,5.4,0.422,1.2,3.3,0.349,1.1,2.1,0.538,0.53,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2,,99,6-6,235,"July 6, 1990",us US,11,Marquette,2024,MIL
7,8.0,Pat Connaughton,31.0,SF,76,3,22.1,2.0,4.6,0.435,1.1,3.1,0.345,0.9,1.4,0.633,0.553,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6,,24,6-5,209,"January 6, 1993",us US,8,Notre Dame,2024,MIL
8,9.0,Patrick Beverley,35.0,PG,26,8,20.9,2.1,5.3,0.391,1.0,2.8,0.361,1.1,2.5,0.424,0.486,0.9,1.0,0.852,0.7,2.9,3.6,2.6,0.7,0.5,0.6,1.7,6.0,,21,6-2,180,"July 12, 1988",us US,11,Arkansas,2024,MIL
9,10.0,Cameron Payne,29.0,PG,47,2,14.9,2.1,4.7,0.455,1.1,2.8,0.397,1.0,1.9,0.538,0.572,0.8,0.9,0.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2,,15,6-3,183,"August 8, 1994",us US,8,Murray State,2024,MIL
10,11.0,MarJon Beauchamp,23.0,SF,48,1,12.7,1.7,3.5,0.488,0.6,1.6,0.4,1.1,1.9,0.56,0.578,0.4,0.6,0.679,0.5,1.6,2.1,0.6,0.3,0.1,0.6,1.1,4.4,,3,6-6,199,"October 12, 2000",us US,1,Yakima Valley Community College,2024,MIL
11,12.0,A.J. Green,24.0,SG,56,0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,,20,6-4,200,"September 27, 1999",us US,1,University of Northern Iowa,2024,MIL
12,13.0,Andre Jackson Jr.,22.0,SG,57,8,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2,,44,6-6,210,"November 13, 2001",us US,R,UConn,2024,MIL
13,14.0,Danilo Gallinari,35.0,SF,17,0,9.1,0.8,2.2,0.378,0.2,1.0,0.176,0.6,1.2,0.55,0.419,0.9,1.1,0.889,0.4,0.7,1.1,0.7,0.4,0.1,0.6,0.9,2.8,,12,6-10,233,"August 8, 1988",it IT,13,,2024,MIL
14,15.0,TyTy Washington Jr.,22.0,PG,11,0,5.1,0.5,1.8,0.3,0.2,0.5,0.333,0.4,1.3,0.286,0.35,0.0,0.0,,0.1,0.4,0.5,0.5,0.3,0.0,0.2,0.1,1.3,,23,6-3,197,"November 15, 2001",us US,1,Kentucky,2024,MIL
15,16.0,Thanasis Antetokounmpo,31.0,PF,34,0,4.6,0.5,0.9,0.533,0.0,0.0,0.0,0.5,0.9,0.552,0.533,0.0,0.1,0.0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.7,0.9,,43,6-7,219,"July 18, 1992",gr GR,5,,2024,MIL
16,17.0,Chris Livingston,20.0,SF,21,0,4.3,0.5,1.0,0.5,0.0,0.2,0.2,0.5,0.8,0.588,0.523,0.1,0.2,0.75,0.1,0.9,1.0,0.2,0.1,0.0,0.2,0.7,1.2,,7,6-6,220,"October 15, 2003",us US,R,Kentucky,2024,MIL
17,18.0,Robin Lopez,35.0,C,16,2,4.1,0.4,1.2,0.368,0.1,0.5,0.25,0.3,0.7,0.455,0.421,0.1,0.1,1.0,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1,,42,7-1,281,"April 1, 1988",us US,15,Stanford,2024,MIL
18,19.0,Ryan Rollins,21.0,PG,3,0,4.0,0.3,0.7,0.5,0.3,0.3,1.0,0.0,0.3,0.0,0.75,0.0,0.0,,0.0,0.7,0.7,1.0,0.7,0.0,0.3,0.3,1.0,,55,6-4,180,"July 3, 2002",us US,1,Toledo,2024,MIL
19,20.0,Lindell Wigginton,25.0,PG,3,0,2.7,0.7,1.7,0.4,0.0,0.7,0.0,0.7,1.0,0.667,0.4,0.7,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,,28,6-2,189,"March 28, 1998",ca CA,2,Iowa State,2024,MIL
20,21.0,Marques Bolden,25.0,C,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,,12,6-10,249,"April 17, 1998",us US,2,Duke,2024,MIL
0,1.0,Donovan Mitchell,27.0,SG,55,55,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.8,10.8,0.539,0.545,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,AS,45,6-3,215,"September 7, 1996",us US,6,Louisville,2024,CLE
1,2.0,Darius Garland,24.0,PG,57,57,33.4,6.6,14.8,0.446,2.3,6.2,0.371,4.3,8.5,0.501,0.524,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18.0,,10,6-1,192,"January 26, 2000",us US,4,Vanderbilt,2024,CLE
2,3.0,Max Strus,27.0,SF,70,70,32.0,4.3,10.4,0.418,2.4,6.8,0.351,1.9,3.6,0.546,0.533,1.1,1.4,0.794,0.9,3.9,4.8,4.0,0.9,0.4,1.6,2.4,12.2,,1,6-5,215,"March 28, 1996",us US,4,"Lewis (IL), DePaul",2024,CLE
3,4.0,Jarrett Allen,25.0,C,77,77,31.7,6.7,10.6,0.634,0.0,0.1,0.0,6.7,10.6,0.638,0.634,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,DPOY-10,31,6-11,243,"April 21, 1998",us US,6,Texas,2024,CLE
4,5.0,Evan Mobley,22.0,PF,50,50,30.6,6.4,11.0,0.58,0.4,1.2,0.373,6.0,9.9,0.604,0.6,2.5,3.4,0.719,2.2,7.1,9.4,3.2,0.9,1.4,1.8,2.7,15.7,,4,6-11,215,"June 18, 2001",us US,2,USC,2024,CLE
5,6.0,Caris LeVert,29.0,SG,68,10,28.8,5.1,12.1,0.421,1.6,4.9,0.325,3.5,7.2,0.486,0.487,2.3,3.0,0.766,0.6,3.5,4.1,5.1,1.1,0.5,1.7,1.8,14.0,,3,6-6,205,"August 25, 1994",us US,7,Michigan,2024,CLE
6,7.0,Isaac Okoro,23.0,SF,69,42,27.3,3.4,7.0,0.49,1.2,3.1,0.391,2.2,3.8,0.57,0.577,1.3,2.0,0.679,1.0,2.0,3.0,1.9,0.8,0.5,0.8,2.0,9.4,,35,6-5,225,"January 26, 2001",us US,3,Auburn,2024,CLE
7,8.0,Georges Niang,30.0,PF,82,10,22.3,3.5,7.7,0.449,1.8,4.8,0.376,1.6,2.9,0.572,0.567,0.6,0.7,0.85,0.3,3.1,3.4,1.2,0.4,0.2,0.9,2.3,9.4,,20,6-7,230,"June 17, 1993",us US,7,Iowa State,2024,CLE
8,9.0,Dean Wade,27.0,PF,54,32,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4,,32,6-9,228,"November 20, 1996",us US,4,Kansas State,2024,CLE
9,10.0,Sam Merrill,27.0,SG,61,1,17.5,2.6,6.4,0.402,2.3,5.8,0.404,0.2,0.6,0.385,0.584,0.4,0.5,0.929,0.4,1.6,2.0,1.8,0.3,0.1,0.3,1.2,8.0,,5,6-4,205,"May 15, 1996",us US,3,Utah State University,2024,CLE
10,11.0,Marcus Morris,34.0,PF,12,0,15.0,2.2,4.9,0.441,1.0,2.4,0.414,1.2,2.5,0.467,0.542,0.4,0.7,0.625,0.4,1.7,2.1,0.8,0.2,0.2,0.9,1.1,5.8,,24,6-8,218,"September 2, 1989",us US,12,Kansas,2024,CLE
11,12.0,Craig Porter Jr.,23.0,PG,51,6,12.7,2.3,4.5,0.509,0.2,0.7,0.353,2.0,3.8,0.536,0.535,0.8,1.1,0.732,0.4,1.7,2.1,2.3,0.4,0.3,0.9,0.8,5.6,,9,6-2,186,"February 26, 2000",us US,R,"Vincennes University, Wichita State",2024,CLE
12,13.0,Tristan Thompson,32.0,C,49,0,11.2,1.5,2.4,0.608,0.0,0.0,0.0,1.5,2.4,0.613,0.608,0.3,1.1,0.288,1.5,2.1,3.6,1.0,0.2,0.3,0.6,1.2,3.3,,"12, 13",6-9,254,"March 13, 1991",ca CA,12,Texas,2024,CLE
13,14.0,Emoni Bates,20.0,SF,15,0,8.9,1.0,3.3,0.306,0.7,2.2,0.303,0.3,1.1,0.313,0.408,0.1,0.3,0.25,0.1,0.9,0.9,0.7,0.1,0.1,0.5,0.3,2.7,,21,6-10,170,"January 28, 2004",us US,R,"Memphis, Eastern Michigan",2024,CLE
14,15.0,Ty Jerome,26.0,SG,2,0,7.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.5,0.0,0.5,1.5,0.0,0.0,0.5,1.0,2.0,,2,6-5,195,"July 8, 1997",us US,4,Virginia,2024,CLE
15,16.0,Isaiah Mobley,24.0,PF,10,0,7.2,1.0,2.4,0.417,0.3,1.0,0.3,0.7,1.4,0.5,0.479,0.0,0.1,0.0,0.3,0.7,1.0,0.6,0.2,0.0,0.2,0.6,2.3,,15,6-8,240,"September 24, 1999",us US,1,USC,2024,CLE
16,17.0,Damian Jones,28.0,C,39,0,6.9,1.1,1.8,0.597,0.1,0.4,0.214,1.0,1.5,0.69,0.618,0.5,0.5,0.857,0.5,1.1,1.6,0.4,0.2,0.3,0.3,0.7,2.7,,30,6-11,245,"June 30, 1995",us US,7,Vanderbilt,2024,CLE
17,18.0,Pete Nance,23.0,PF,8,0,3.4,0.1,0.8,0.167,0.1,0.1,1.0,0.0,0.6,0.0,0.25,0.0,0.3,0.0,0.0,0.4,0.4,0.0,0.1,0.0,0.1,0.3,0.4,,8,6-11,230,"February 19, 2000",us US,R,"Northwestern, UNC",2024,CLE
0,1.0,Paolo Banchero,21.0,PF,80,80,35.0,8.0,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7.0,0.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,AS,5,6-10,250,"November 12, 2002",us US,1,Duke,2024,ORL
1,2.0,Franz Wagner,22.0,SF,72,72,32.5,7.3,15.2,0.482,1.3,4.6,0.281,6.0,10.6,0.57,0.525,3.8,4.4,0.85,1.0,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7,,22,6-10,225,"August 27, 2001",de DE,2,Michigan,2024,ORL
2,3.0,Jalen Suggs,22.0,SG,75,75,27.0,4.5,9.5,0.471,2.0,5.1,0.397,2.4,4.4,0.556,0.578,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,DPOY-10,4,6-5,205,"June 3, 2001",us US,2,Gonzaga,2024,ORL
3,4.0,Wendell Carter Jr.,24.0,C,55,48,25.6,4.1,7.7,0.525,1.2,3.1,0.374,2.9,4.6,0.626,0.6,1.7,2.4,0.694,2.0,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11.0,,34,6-10,270,"April 16, 1999",us US,5,Duke,2024,ORL
